Date,Open,High,Low,Close,Volume,Adj Close
2021-02-17,83900.0,84200.0,83000.0,83200.0,18307735,83200.0
2021-02-18,83200.0,83600.0,82100.0,82100.0,21327683,82100.0
2021-02-19,82300.0,82800.0,81000.0,82600.0,25880879,82600.0
2021-02-22,83800.0,84200.0,82200.0,82200.0,25419886,82200.0
2021-02-23,81200.0,82900.0,81100.0,82000.0,20587314,82000.0
2021-02-24,81800.0,83600.0,81300.0,82000.0,26807651,82000.0
2021-02-25,84000.0,85400.0,83000.0,85300.0,34155986,85300.0
2021-02-26,82800.0,83400.0,82000.0,82500.0,38520800,82500.0
2021-03-02,85100.0,85300.0,83000.0,83600.0,33498180,83600.0
2021-03-03,83500.0,84000.0,82800.0,84000.0,19882132,84000.0
2021-03-04,82600.0,83200.0,82200.0,82400.0,24348331,82400.0
2021-03-05,81100.0,82600.0,81100.0,82100.0,20508971,82100.0
2021-03-08,82900.0,83000.0,81600.0,82000.0,17641256,82000.0
2021-03-09,81400.0,81900.0,80600.0,81400.0,25420764,81400.0
2021-03-10,82400.0,82500.0,80700.0,80900.0,20038422,80900.0
2021-03-11,81000.0,82500.0,81000.0,82000.0,23818297,82000.0
2021-03-12,83100.0,83500.0,82400.0,82800.0,13530573,82800.0
2021-03-15,82800.0,82900.0,81800.0,81800.0,13735798,81800.0
2021-03-16,82200.0,83000.0,82100.0,82800.0,12293537,82800.0
2021-03-17,82800.0,82900.0,82000.0,82300.0,11625146,82300.0
2021-03-18,82800.0,83800.0,82600.0,82900.0,18585244,82900.0
2021-03-19,82100.0,82500.0,81800.0,81900.0,15869700,81900.0
2021-03-22,82000.0,82300.0,81700.0,82000.0,12670506,82000.0
2021-03-23,82600.0,82900.0,81800.0,81800.0,13299907,81800.0
2021-03-24,81000.0,81600.0,80700.0,81000.0,17926638,81000.0
2021-03-25,81000.0,82100.0,80800.0,81200.0,14758826,81200.0
2021-03-26,81400.0,81600.0,81000.0,81500.0,12845778,81500.0
2021-03-29,81700.0,81700.0,81000.0,81600.0,14952134,81600.0
2021-03-30,81600.0,82300.0,81300.0,82200.0,13121698,82200.0
2021-03-31,82400.0,82700.0,81400.0,81400.0,17240518,81400.0
2021-04-01,82500.0,83000.0,82000.0,82900.0,18676461,82900.0
2021-04-02,84000.0,85200.0,83900.0,84800.0,22997538,84800.0
2021-04-05,85800.0,86000.0,84800.0,85400.0,16255990,85400.0
2021-04-06,86200.0,86200.0,85100.0,86000.0,19042023,86000.0
2021-04-07,86100.0,86200.0,85400.0,85600.0,17885538,85600.0
2021-04-08,85700.0,85700.0,84100.0,84700.0,19244259,84700.0
2021-04-09,84700.0,84900.0,83400.0,83600.0,18193707,83600.0
2021-04-12,84100.0,84100.0,83100.0,83200.0,12915282,83200.0
